species,latitude,longitude
Boronia gracilipes,-34.95638903,117.356667
Boronia gracilipes,-34.95638903,117.356667
Boronia gracilipes,-34.95638903,117.356667
Boronia gracilipes,-34.87824203,117.383062
Boronia gracilipes,-34.86444403,117.395
Boronia gracilipes,-34.87333303,117.395833
Boronia gracilipes,-34.80638903,117.501389
Boronia gracilipes,-35.03333303,117.516667
Boronia gracilipes,-35.0155719,117.8845584
Boronia gracilipes,-34.5,117.9167
Boronia gracilipes,-33.1667,118
Boronia gracilipes,-34.982948,118.152027
Boronia gracilipes,-34.98333303,118.183333
Boronia gracilipes,-34.9,118.25
Boronia gracilipes,-34.89444403,118.267222
Boronia gracilipes,-34.81527803,118.283333
Boronia gracilipes,-34.86666703,118.416667
